biz_no,company_name,company_size,company_type,industry_code,industry_name,zip_code,address,region,city_district,phone_number,email,fax_number,gfc_transaction_yn,group_transaction_yn,ked_transaction_yn,patent_transaction_yn,establish_date,corporate_reg_no,representative_name,national_pension,pension_count,pension_date,employee_count,jibun_address
8138702860,(주)에스비블레싱,소상공인,주식회사,C30201,차체 및 특장차 제조업,11165.0,"경기 포천시 가산면 포천로912번길 145, C동 (마전리)",경기,포천시,,,,N,N,N,Y,20221215.0,2844110135622.0,전*주,6.0,6,20241231,6,경기 포천시 가산면 마전리 565-7번지 C동
1278647852,(주)중앙연도,소상공인,주식회사,C25112,구조용 금속 판제품 및 공작물 제조업,11167.0,경기 포천시 가산면 정금로238번길 65 (정교리),경기,포천시,,,,N,N,N,Y,20130313.0,2844110071214.0,이*표,10.0,9,20241231,9,경기 포천시 가산면 정교리 27-1번지
1278158728,(주)선광 엠 파,소기업,주식회사,C25911,분말 야금제품 제조업,11136.0,경기 포천시 신북면 금화봉길 52 (삼성당리),경기,포천시,031 534 2511,skco@brazing.co.kr,031 534 2513,N,N,N,Y,19931215.0,1115110018014.0,김*홍,17.0,19,20231231,19,경기 포천시 신북면 삼성당리 215번지
2318107590,(주)영동식품,소기업,주식회사,C10730,"면류, 마카로니 및 유사식품 제조업",11155.0,경기 포천시 군내면 청군로 3163 (직두리),경기,포천시,031 535 5773,ydfood@ydfood.co.kr,031 534 1313,N,N,N,Y,20141023.0,2844110079531.0,문*길,15.0,15,20241231,15,경기 포천시 군내면 직두리 691-1번지
2318102595,(주)대봉,소상공인,주식회사,C22231,"플라스틱 포대, 봉투 및 유사제품 제조업",11166.0,경기 포천시 가산면 포천로912번길 175 (우금리),경기,포천시,031 544 0051,dblk@hanmail.net,031 544 0052,N,N,N,N,20130730.0,2844110073111.0,임*일,11.0,9,20241231,9,경기 포천시 가산면 우금리 611-4번지
1648800898,(주)대원산림기술사사무소,소기업,주식회사,M72129,기타 엔지니어링 서비스업,11149.0,"경기 포천시 중앙로 29-1, 2층 (신읍동)",경기,포천시,,,,N,N,N,N,20180413.0,2844110099795.0,지*환,6.0,6,20241231,6,경기 포천시 신읍동 376-14번지 2층
4488800990,(주)에이티,소기업,주식회사,C10129,육류 기타 가공 및 저장처리업 (가금류 제외),11167.0,경기 포천시 가산면 정금로255번길 48 (정교리),경기,포천시,,,,N,N,N,N,20181105.0,2844110103231.0,엄*중,43.0,27,20241231,27,경기 포천시 가산면 정교리 93번지
1278616169,유니온칼라텍(주),소기업,주식회사,C18119,기타 인쇄업,11190.0,경기 포천시 내촌면 부마로503번길 18 (진목리),경기,포천시,031 534 9765,,031 534 9764,N,N,Y,Y,20090403.0,2844110053238.0,이*철,13.0,12,20241231,12,경기 포천시 내촌면 진목리 710번지
6748601783,(주)대상디씨엠,소기업,주식회사,C23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",11168.0,경기 포천시 가산면 가산로240번길 19-21 (방축리),경기,포천시,,,,N,N,N,N,20201015.0,1101117650743.0,고*경,13.0,12,20241231,12,경기 포천시 가산면 방축리 36번지
3878700892,(주)무지개산업,소기업,주식회사,C22299,그 외 기타 플라스틱 제품 제조업,11187.0,경기 포천시 소흘읍 무림1길 17 (무림리),경기,포천시,,,,N,N,N,Y,20180205.0,2841110185962.0,노*섭,13.0,11,20241231,11,경기 포천시 소흘읍 무림리 198-31번지
4868801574,(주)에스엘,소상공인,주식회사,H49401,택배업,11170.0,경기 포천시 소흘읍 화합로 379 (송우리),경기,포천시,,,,N,N,N,N,20200423.0,2844110114022.0,한*태,5.0,4,20241231,4,경기 포천시 소흘읍 송우리 22-2번지
4188134184,(유)더에스앤엘,소기업,유한회사,N75992,"전시, 컨벤션 및 행사 대행업",11163.0,경기 포천시 원동교길 57-9 (동교동),경기,포천시,02 534 8593,,,N,N,N,N,20101209.0,2101140074779.0,이*태,9.0,7,20241231,7,경기 포천시 동교동 446-19번지
1278183362,(주)한미이엔씨,소기업,주식회사,C25944,금속선 가공제품 제조업,11154.0,경기 포천시 군내면 용정경제로2길 43 (용정리),경기,포천시,031 531 8992,vrscreen@naver.com,031 532 7642,N,N,N,Y,20031002.0,1154110035272.0,안*혁,16.0,25,20250529,25,경기 포천시 군내면 용정리 482-4번지
1328630839,(주)명성금속,소기업,주식회사,C32091,금속 가구 제조업,11154.0,경기 포천시 군내면 용정경제로1길 91 (용정리),경기,포천시,031 571 0495,,031 529 4746,N,N,N,N,20141022.0,2841110132955.0,신*룡,13.0,15,20241231,15,경기 포천시 군내면 용정리 483-17번지
7638700965,(주)대영케이에이치,소상공인,주식회사,G46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",11192.0,경기 포천시 내촌면 금강로2076번길 9-52 (음현리),경기,포천시,,,,N,N,N,Y,20171227.0,2841110184047.0,이*홍,4.0,4,20241231,4,경기 포천시 내촌면 음현리 587-3번지
5618600983,(주)아이끌레,중기업,주식회사,G46499,그 외 기타 생활용품 도매업,11163.0,경기 포천시 천보1길 17 (동교동),경기,포천시,,,,N,N,N,N,20180110.0,2841110184724.0,박*영,16.0,14,20241231,14,경기 포천시 동교동 558-3번지
1278116451,성일산업(주),소기업,주식회사,C29299,그 외 기타 특수목적용 기계 제조업,11163.0,경기 포천시 화합로 229 (동교동),경기,포천시,031 541 7834,siyoung_lee@yahoo.com,031 541 1415,N,N,N,N,19880104.0,1152110007944.0,권*형,23.0,23,20231231,23,경기 포천시 동교동 419-8번지
5038619943,(주)일성테크,소상공인,주식회사,C20203,혼성 및 재생 플라스틱 소재 물질 제조업,11191.0,경기 포천시 내촌면 부마로282번길 33-45 (마명리),경기,포천시,,,,Y,Y,N,N,20201130.0,2844110118892.0,김*헌,5.0,4,20241231,4,경기 포천시 내촌면 마명리 109-8번지
1818601938,(주)한국아이도스,소기업,주식회사,C29171,산업용 냉장 및 냉동 장비 제조업,11157.0,경기 포천시 군내면 유교로 83 (유교리),경기,포천시,,,,N,N,Y,Y,20210104.0,2844110119709.0,어*원,16.0,14,20241231,14,경기 포천시 군내면 유교리 689-1번지
1278116183,(주)비앤비,소기업,주식회사,C20411,일반용 도료 및 관련제품 제조업,11168.0,경기 포천시 가산면 가산로96번길 56 (가산리),경기,포천시,031 543 2223,khic@atometal.co.kr,031 543 2240,N,N,Y,Y,19901121.0,1154110004003.0,신*철,17.0,4,20231231,4,경기 포천시 가산면 가산리 474-2번지
1278174669,승리건설(주),소기업,주식회사,F42121,토공사업,11150.0,경기 포천시 호국로1353번길 43 (어룡동),경기,포천시,031 531 1485,,031 536 6370,N,N,N,N,20020621.0,1154110031189.0,이*철,9.0,10,20241231,10,경기 포천시 어룡동 246-1번지
6468101745,한강아쿠아영어조합법인,소기업,기타법인,G46205,육지동물 및 애완동물 도매업,11160.0,경기 포천시 원동교길 142,경기,포천시,,,,N,N,N,N,20191226.0,2841710007532.0,민*진,24.0,32,20241231,32,경기 포천시 동교동 370-4번지
1278612751,(주)유퍼니,소기업,주식회사,C32029,기타 목재가구 제조업,11161.0,경기 포천시 호국로929번길 71 (설운동),경기,포천시,02 16441733,you120000@nate.com,031 541 2099,N,N,Y,Y,20080903.0,2844110051084.0,김*영,24.0,25,20241231,25,경기 포천시 설운동 112번지
3388600947,(주)오리엔트푸드,중기업,주식회사,G46329,기타 가공식품 도매업,11167.0,경기 포천시 가산면 정금로153번길 61 (정교리),경기,포천시,02 960 0247,,02 968 0247,N,N,N,N,20180117.0,2842110085251.0,홍*화,6.0,6,20241231,6,경기 포천시 가산면 정교리 384번지
1278615821,(주)제이비앤아이,소기업,주식회사,C30392,자동차용 신품 제동장치 제조업,11167.0,경기 포천시 가산면 정금로 356-2 (금현리),경기,포천시,070 41112666,jhbrake@jhbrake.co.kr,031 542 9442,N,N,Y,Y,20080430.0,2844110049881.0,조*남,21.0,18,20241014,18,경기 포천시 가산면 금현리 535-2번지
5138141466,항상건설(주),소상공인,주식회사,F42201,배관 및 냉ㆍ난방 공사업,11163.0,경기 포천시 화합로 171 (동교동),경기,포천시,054 454 6622,hangsang7767@naver.com,,N,N,N,N,20060710.0,1760110046464.0,전*령,12.0,6,20241231,6,경기 포천시 동교동 549번지
4208701223,(주)산들종합건설,소상공인,주식회사,F42412,"도배, 실내장식 및 내장 목공사업",11184.0,경기 포천시 소흘읍 윗용상1길 23-26 (이동교리),경기,포천시,,,,N,N,N,N,20180911.0,2844110102415.0,한*엽,5.0,4,20241231,4,경기 포천시 소흘읍 이동교리 225-5번지
2588800835,(주)기용,중기업,주식회사,G46329,기타 가공식품 도매업,11161.0,경기 포천시 호국로 893 (설운동),경기,포천시,,,50752324184,N,N,N,Y,20171107.0,2844110096973.0,하*영,4.0,4,20241231,4,경기 포천시 설운동 82번지
4758702090,(주)팜프레쉬,소기업,주식회사,C10501,액상시유 및 기타 낙농제품 제조업,11190.0,경기 포천시 내촌면 내진로155번길 42 (진목리),경기,포천시,,,,N,N,N,Y,20240613.0,2844110145861.0,이*종,10.0,18,20250918,18,경기 포천시 내촌면 진목리 876번지
1048615959,(주)한백에이스,소기업,주식회사,C13999,그 외 기타 분류 안된 섬유제품 제조업,11185.0,경기 포천시 소흘읍 죽엽산로237번길 84 (고모리),경기,포천시,,,,N,N,N,Y,20080704.0,1101113928615.0,김*영,10.0,20,20241231,20,경기 포천시 소흘읍 고모리 418-4번지
3218800813,(주)기합,소상공인,주식회사,C33309,기타 운동 및 경기용구 제조업,11163.0,"경기 포천시 원동교길 81-6, 나동 (동교동)",경기,포천시,,,,N,N,N,N,20171129.0,2841110182786.0,이*형,6.0,6,20241231,6,경기 포천시 동교동 438-1번지 나동
5428102141,(주)태성아이템,소상공인,주식회사,C22232,포장용 플라스틱 성형용기 제조업,11166.0,"경기 포천시 가산면 우금3길 47, 2동 (우금리,사무실1동)",경기,포천시,,,,N,N,N,N,20200918.0,2844110117555.0,김*영,4.0,4,20241231,4,경기 포천시 가산면 우금리 283-10번지 사무실 1동 2호
1278141213,(주)호원,중기업,주식회사,F42121,토공사업,11149.0,경기 포천시 중앙로34번길 35 (신읍동),경기,포천시,031 531 0512,,031 536 9103,N,N,N,N,20000907.0,1154110024316.0,이*란,7.0,6,20241231,6,경기 포천시 신읍동 65-16번지
3428601076,(주)필엔,소상공인,주식회사,C33302,놀이터용 장비 제조업,11131.0,"경기 포천시 영중면 영일로 237, 가,나, 다동 (금주리)",경기,포천시,031 838 7816,,031 859 7816,N,N,N,N,20180319.0,2802110178000.0,이*재,7.0,8,20241231,8,"경기 포천시 영중면 금주리 1060-24번지 가,나, 다동"
2578601972,(주)온니,소상공인,주식회사,C10619,기타 곡물 가공품 제조업,11191.0,경기 포천시 내촌면 부마로291번길 9,경기,포천시,,,,N,N,N,N,20201223.0,2844110119428.0,황*호,6.0,6,20241231,6,경기 포천시 내촌면 마명리 273-10번지
2188173404,(주)까사홀딩스,소기업,주식회사,C13221,침구 및 관련제품 제조업,11184.0,경기 포천시 소흘읍 호국로 424-17 (이동교리),경기,포천시,,casa3415@naver.com,,N,N,Y,Y,20200706.0,2844110115666.0,양*영,17.0,20,20250410,20,경기 포천시 소흘읍 이동교리 72-1번지
1278647833,(주)서진니트,소기업,주식회사,C13300,편조원단 제조업,11168.0,경기 포천시 가산면 시우동길 99 (가산리),경기,포천시,031 542 9576,,031 544 9575,N,N,N,Y,20130308.0,2844110071173.0,권*헌,13.0,11,20241231,11,경기 포천시 가산면 가산리 418-1번지
2128166109,(주)에이뷰,소기업,주식회사,C10220,수산식물 가공 및 저장 처리업,11181.0,경기 포천시 소흘읍 죽엽산로45번길 32 (이가팔리),경기,포천시,031 542 7985,njs7985@nvaer.com,031 542 4471,N,N,N,Y,20031202.0,1101112907389.0,남*우,37.0,39,20251015,39,경기 포천시 소흘읍 이가팔리 359번지
5598600317,(주)라레스,소상공인,주식회사,C32029,기타 목재가구 제조업,11151.0,"경기 포천시 군내면 반월산성로153번길 82-15, 제마동호 (하성북리)",경기,포천시,,,,N,N,N,N,20160422.0,2844110087899.0,유*현,6.0,6,20241231,6,경기 포천시 군내면 하성북리 45번지 제마동호
2908700792,(주)바이오워터,소기업,주식회사,F41224,환경설비 건설업,11184.0,"경기 포천시 소흘읍 호국로 521, 1층 (이동교리,동아빌딩)",경기,포천시,,,,N,N,N,Y,20100406.0,2846110013585.0,서*국,43.0,45,20241231,45,경기 포천시 소흘읍 이동교리 149-3번지 동아빌딩 1층
2068619800,(주)이앤켐솔루션,소기업,주식회사,C29174,기체 여과기 제조업,11154.0,경기 포천시 군내면 용정경제로1길 94-38 (용정리),경기,포천시,031 791 9471,catalite1@hanmail.net,02 64423502,N,N,Y,Y,20071022.0,1101113772690.0,김*동,14.0,14,20241231,14,경기 포천시 군내면 용정리 484-15번지
1278631030,(주)태성사,소상공인,주식회사,C13229,기타 직물제품 제조업,11127.0,경기 포천시 영중면 호국로3296번길 20 (성동리),경기,포천시,031 531 5450,rlatls1234@naver.com,031 531 5442,N,N,N,Y,20110426.0,2844110062114.0,김*형,7.0,7,20241231,7,경기 포천시 영중면 성동리 319-1번지
1278135458,(주)조원산업,소상공인,주식회사,C20312,복합비료 및 기타 화학비료 제조업,11130.0,경기 포천시 영중면 가영로535번길 7 (영송리),경기,포천시,031 532 0144,jowon81@naver.com,031 532 0342,N,N,N,Y,19951010.0,1154110010927.0,추*윤,7.0,8,20250429,8,경기 포천시 영중면 영송리 495-1번지
4448701103,(주)에이론,중기업,주식회사,C22251,폴리스티렌 발포 성형제품 제조업,11154.0,경기 포천시 군내면 용정경제로1길 94-31 (용정리),경기,포천시,031 541 9251,,031 541 0103,N,N,N,N,20180611.0,2844110100576.0,홍*숙,16.0,15,20241231,15,경기 포천시 군내면 용정리 486번지
1278182913,포천상운(주),소기업,주식회사,H49219,기타 도시 정기 육상 여객 운송업,11161.0,경기 포천시 호국로883번길 9 (설운동),경기,포천시,031 531 8732,,,N,N,N,N,20030905.0,1154110035008.0,강*견,31.0,27,20241231,27,경기 포천시 설운동 70-25번지
1278116432,용진 유리 공업(주),소기업,주식회사,C23119,기타 판유리 가공품 제조업,11165.0,경기 포천시 가산면 마전길 57 (마전리),경기,포천시,031 544 1523,,031 544 3441,Y,N,N,Y,19910430.0,1154110004409.0,김*성,34.0,45,20250527,45,경기 포천시 가산면 마전리 437-2번지
1328177033,(주)클린존,소기업,주식회사,C17902,위생용 종이제품 제조업,11140.0,경기 포천시 신북면 중앙로 435 (가채리),경기,포천시,031 532 8022,cleanzone@clnzn.com,,N,N,Y,Y,20080522.0,2841110073084.0,이*구,17.0,14,20241231,14,경기 포천시 신북면 가채리 339-1번지
1238802537,(주)백윤티앤에프컨설팅,소기업,주식회사,L68129,기타 부동산 개발 및 공급업,11115.0,경기 포천시 일동면 수입로 179 (수입리),경기,포천시,,,,N,N,N,N,20220624.0,2844110131894.0,백*일,6.0,6,20241231,6,경기 포천시 일동면 수입리 409-2번지
1098183914,(주)나프,소기업,주식회사,C29221,전자 응용 절삭기계 제조업,11190.0,경기 포천시 내촌면 포천로 325 (진목리),경기,포천시,050 20012225,,031 701 7760,N,N,N,N,20030306.0,1101112731689.0,조*일,15.0,13,20241231,13,경기 포천시 내촌면 진목리 932-1번지
2628700953,(주)신비바이오,소기업,주식회사,C10797,건강기능식품 제조업,11165.0,경기 포천시 가산면 좌의길 241 (마전리),경기,포천시,070 43510925,Visangsun1001@naver.com,02 69337217,N,N,Y,Y,20180403.0,1101116708353.0,이*원,34.0,25,20241231,25,경기 포천시 가산면 마전리 146-6번지
1278632908,(주)세인석재,소기업,주식회사,F42133,조적 및 석 공사업,11188.0,경기 포천시 내촌면 금강로 2713-31 (소학리),경기,포천시,031 531 6305,,031 533 6307,N,N,N,N,20110712.0,2844110062990.0,박*영,3.0,5,20160303,5,경기 포천시 내촌면 소학리 217번지
1278194743,(주)승일레이블,소기업,주식회사,C13991,세폭직물 제조업,11168.0,경기 포천시 가산면 메나리길 124 (방축리),경기,포천시,031 543 3522,seungilsystem@hanmail.net,031 541 6748,N,N,N,N,20050907.0,2844110041358.0,신*순,23.0,25,20250516,25,경기 포천시 가산면 방축리 333-1번지
2178142169,(주)광산창호금속,소상공인,주식회사,F42420,유리 및 창호 공사업,11184.0,경기 포천시 소흘읍 이동교로 58-20,경기,포천시,031 544 9717,,031 544 9720,N,N,N,N,20130807.0,1101115200558.0,김*영,4.0,4,20241231,4,경기 포천시 소흘읍 이동교리 592번지
1278125417,삼환건설(주),소상공인,주식회사,F42139,기타 옥외 시설물 축조 관련 전문공사업,11148.0,"경기 포천시 왕방로 98, 나동 101호 (신읍동)",경기,포천시,031 533 5261,,031 544 0988,N,N,Y,Y,19980223.0,1154110016496.0,연*숙,5.0,6,20241231,6,경기 포천시 신읍동 369-52번지 나동 101호
1278193666,(주)엠에스엘 콤프레서,소상공인,주식회사,C29132,기체 펌프 및 압축기 제조업,11160.0,경기 포천시 해룡로 34 (설운동),경기,포천시,031 853 7000,msl1@mslcomp.com,031 542 2999,N,N,Y,Y,20050624.0,2844110040855.0,성*민,17.0,18,20241231,18,경기 포천시 설운동 553번지
1278190728,(주)휴먼시스템,소기업,주식회사,F42322,내부 통신배선 공사업,11163.0,경기 포천시 원동교길 43-1 (동교동),경기,포천시,031 542 2207,hmsst@daum.net,031 542 2039,N,N,N,N,20050117.0,2844110039486.0,김*형,12.0,11,20250604,11,경기 포천시 동교동 489-12번지
4588600974,(주)휴먼텍스,소기업,주식회사,C13402,"직물, 편조원단 및 의복류 염색 가공업",11138.0,경기 포천시 신북면 장자경제로 103-23 (신평리),경기,포천시,031 80897179,human_tex@hanmail.net,031 80897195,N,N,N,Y,20171113.0,2844110097137.0,김*복,21.0,47,20240904,47,경기 포천시 신북면 신평리 676-8번지
1328615217,(주)대한하우징,소기업,주식회사,C25119,기타 구조용 금속제품 제조업,11160.0,경기 포천시 동교로 47-5 (동교동),경기,포천시,031 541 8785,,031 534 0350,N,N,Y,Y,20130408.0,2841110114713.0,김*연,10.0,7,20241231,7,경기 포천시 동교동 701번지
5518801446,(주)명인퍼니쳐,소상공인,주식회사,G46431,생활용 가구 도매업,11152.0,"경기 포천시 군내면 반월산성로 417-1, 다동 (구읍리)",경기,포천시,,,,N,N,N,Y,20190404.0,2841110206974.0,이*민,4.0,4,20241231,4,경기 포천시 군내면 구읍리 232번지 다동
5188601732,(주)펌킨컴퍼니,소상공인,주식회사,C32099,그 외 기타 가구 제조업,11164.0,경기 포천시 가산면 포천로898번길 109-50 (금현리),경기,포천시,,,,N,N,Y,Y,20200611.0,2841110234496.0,최*열,6.0,8,20241231,8,경기 포천시 가산면 금현리 334-7번지
7718802772,지해랑(주),소상공인,주식회사,F42500,시설물 유지관리 공사업,11160.0,경기 포천시 삼육사로 2053-38 (선단동),경기,포천시,,,,N,N,Y,N,20230120.0,1101118537487.0,김*영,7.0,6,20241231,6,경기 포천시 선단동 818-10번지
1278610961,(주)삼양유리산업,소기업,주식회사,C23119,기타 판유리 가공품 제조업,11167.0,경기 포천시 가산면 정금로392번길 33-17 (금현리),경기,포천시,031 543 0061,,031 543 6008,Y,Y,N,N,20080526.0,2844110050119.0,노*영,16.0,22,20250421,22,경기 포천시 가산면 금현리 81-3번지
6508600172,스탠딩커피로스터즈(주),소기업,주식회사,M70111,"물리, 화학 및 생물학 연구개발업",11185.0,경기 포천시 소흘읍 죽엽산로298번길 56 (고모리),경기,포천시,,,,N,N,N,Y,20151005.0,1101115853084.0,김*혁,7.0,9,20241231,9,경기 포천시 소흘읍 고모리 595-3번지
1278623428,(주)지오플렉스,중기업,주식회사,C22212,플라스틱 필름 제조업,11131.0,"경기 포천시 영중면 영일로 215-45, 215-57, 215-58 (금주리)",경기,포천시,02 20819552,local19@giolite.com,02 869 7711,N,N,N,Y,20100323.0,2844110057298.0,최*석,16.0,14,20241231,14,"경기 포천시 영중면 금주리 1061-12번지 215-57, 215-58"
8358702574,(주)디오스가구,소기업,주식회사,G46611,원목 및 건축관련 목제품 도매업,11161.0,경기 포천시 삼육사로2186번길 55 (선단동),경기,포천시,,,,N,N,N,N,20220823.0,2844110133147.0,이*숙,6.0,6,20241231,6,경기 포천시 선단동 583번지
4388103405,(주)선진종합건설,소기업,주식회사,F42412,"도배, 실내장식 및 내장 목공사업",11139.0,경기 포천시 신북면 호국로 2446-9 (만세교리),경기,포천시,,,,N,N,N,N,20230417.0,2844110138022.0,하*군,7.0,6,20231231,6,경기 포천시 신북면 만세교리 43-1번지
1048635824,(주)한신테크툴,소기업,주식회사,G46539,기타 산업용 기계 및 장비 도매업,11183.0,경기 포천시 소흘읍 호국로484번길 43-61 (무봉리),경기,포천시,02 22690089,master@hs09.kr,02 22690985,N,N,N,N,20110620.0,1101114628016.0,김*기,7.0,7,20241231,7,경기 포천시 소흘읍 무봉리 154-22번지
7018602328,(주)한서,소상공인,주식회사,F42499,그 외 기타 건축 마무리 공사업,11149.0,"경기 포천시 호국로 1483, 2층 201호 (신읍동)",경기,포천시,,,,N,N,N,N,20220308.0,2844110129625.0,신*옥,6.0,8,20241231,8,경기 포천시 신읍동 394-4번지 2층 201호
3028802542,(주)이룸프라임,소상공인,주식회사,C33920,사무 및 회화용품 제조업,11184.0,경기 포천시 소흘읍 호국로523번길 59-162 (이동교리),경기,포천시,,,,N,N,N,Y,20211230.0,2844110128221.0,이*영,7.0,6,20241231,6,경기 포천시 소흘읍 이동교리 194-2번지
1828701525,(주)한신에이론,소상공인,주식회사,C33999,그 외 기타 달리 분류되지 않은 제품 제조업,11154.0,경기 포천시 군내면 용정경제로1길 94-55 (용정리),경기,포천시,031 541 9253,,031 541 9877,N,N,N,Y,20200304.0,2844110112894.0,오*준,7.0,6,20241231,6,경기 포천시 군내면 용정리 485-9번지
1908601155,(주)플레르가구,중기업,주식회사,G46431,생활용 가구 도매업,11164.0,경기 포천시 가산면 선마로 139 (마산리),경기,포천시,,,,N,N,N,N,20180405.0,1357110128051.0,백*운,12.0,10,20241231,10,경기 포천시 가산면 마산리 551-1번지
5358102463,(주)모헨,소상공인,주식회사,C14411,스타킹 및 기타 양말 제조업,11184.0,경기 포천시 소흘읍 무란2길 15 (이동교리),경기,포천시,,,,N,N,N,Y,20211209.0,2844110127637.0,김*선,4.0,4,20241231,4,경기 포천시 소흘읍 이동교리 573-15번지
